国家/地区,点击次数,展示,点击率,排名
危地马拉,0,14,0,7.57
关岛,0,14,0,9.71
巴勒斯坦,0,13,0,8.62
塞内加尔,0,12,0,7.92
圣卢西亚,0,12,0,8.58
圭亚那,0,11,0,9.82
科特迪瓦,0,11,0,11.18
古巴,0,10,0,7
塞舌尔,0,10,0,9.2
萨尔瓦多,0,10,0,9.5
科索沃,0,9,0,6.78
安哥拉,0,9,0,14.44
开曼群岛,0,8,0,8.88
伯利兹,0,8,0,9.62
美属维尔京群岛,0,8,0,10
澳门,0,7,0,7.14
尼加拉瓜,0,7,0,9
坦桑尼亚,0,7,0,26.29
卢旺达,0,6,0,6.67
泽西岛,0,6,0,7
喀麦隆,0,6,0,9.33
百慕大,0,6,0,9.5
文莱,0,6,0,10.33
安提瓜和巴布达,0,5,0,7.8
圣基茨和尼维斯,0,5,0,8.8
毛里求斯,0,5,0,9.4
老挝,0,5,0,12
英属维尔京群岛,0,5,0,12.2
乌干达,0,5,0,17.8
津巴布韦,0,4,0,6.75
未知地区,0,4,0,7
缅甸,0,4,0,7.5
不丹,0,4,0,8.75
利比里亚,0,4,0,10
也门,0,4,0,10
黑山,0,4,0,10.5
利比亚,0,3,0,3
塔吉克斯坦,0,3,0,6.33
刚果 - 金沙萨,0,3,0,7
佛得角,0,3,0,7
布基纳法索,0,3,0,7.33
库拉索,0,3,0,8.33
多米尼加,0,3,0,9.67
阿富汗,0,3,0,10
博茨瓦纳,0,3,0,11.67
刚果 - 布拉柴维尔,0,3,0,12.67
赞比亚,0,3,0,12.67
海地,0,2,0,4.5
阿鲁巴,0,2,0,6
直布罗陀,0,2,0,6
奥兰群岛,0,2,0,8
马里,0,2,0,8
吉布提,0,2,0,9
瓜德罗普,0,2,0,9
斐济,0,2,0,10
基里巴斯,0,2,0,10
纳米比亚,0,2,0,13
新喀里多尼亚,0,2,0,13
索马里,0,1,0,2
密克罗尼西亚,0,1,0,4
特克斯和凯科斯群岛,0,1,0,4
厄立特里亚,0,1,0,5
马提尼克,0,1,0,5
几内亚,0,1,0,8
赤道几内亚,0,1,0,8
法属圭亚那,0,1,0,8
马约特岛,0,1,0,8
安道尔,0,1,0,9
留尼汪岛,0,1,0,9
苏里南,0,1,0,9
美属萨摩亚,0,1,0,10
摩纳哥,0,1,0,10
毛里塔尼亚,0,1,0,10
尼日尔,0,1,0,10
斯威士兰,0,1,0,10
萨摩亚,0,1,0,10
曼岛,0,1,0,11
塞拉利昂,0,1,0,11
莱索托,0,1,0,12
土库曼斯坦,0,1,0,12
贝宁,0,1,0,13
巴布亚新几内亚,0,1,0,13
荷属圣马丁岛,0,1,0,17
多哥,0,1,0,31
西撒哈拉,0,1,0,44
